time,x,y,z,roll,pitch,yaw,ref_x,ref_y,ref_z,F,tau_x,tau_y,tau_z,dt,latency_us
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.810000,0.000000,-0.000000,0.000000,0.004000,0.000000
0.004017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.791924,0.000000,-0.000000,0.000000,0.004017,17.069000
0.008019,0.000000,0.000000,0.000048,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.773975,0.000000,-0.000000,0.000000,0.004002,19.064000
0.012042,0.000000,0.000000,0.000145,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.755993,0.000000,-0.000000,0.000000,0.004023,42.040000
0.016050,0.000000,0.000000,0.000289,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.738138,0.000000,-0.000000,0.000000,0.004008,49.998000
0.020025,0.000000,0.000000,0.000478,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.720487,0.000000,-0.000000,0.000000,0.003975,25.493000
0.024058,0.000000,0.000000,0.000718,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.702641,0.000000,-0.000000,0.000000,0.004033,58.432000
0.028014,0.000000,0.000000,0.000999,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.685197,0.000000,-0.000000,0.000000,0.003955,13.871000
0.032016,0.000000,0.000000,0.001329,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.667608,0.000000,-0.000000,0.000000,0.004002,15.662000
0.036026,0.000000,0.000000,0.001706,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.650039,0.000000,-0.000000,0.000000,0.004011,26.472000
0.040023,0.000000,0.000000,0.002128,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.632592,0.000000,-0.000000,0.000000,0.003996,22.800000
0.044012,0.000000,0.000000,0.002594,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.615238,0.000000,-0.000000,0.000000,0.003989,11.647000
0.048016,0.000000,0.000000,0.003107,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.597876,0.000000,-0.000000,0.000000,0.004004,16.049000
0.052009,0.000000,0.000000,0.003663,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.580623,0.000000,-0.000000,0.000000,0.003993,8.599000
0.056009,0.000000,0.000000,0.004266,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.563393,0.000000,-0.000000,0.000000,0.004001,9.483000
0.060009,0.000000,0.000000,0.004912,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.546230,0.000000,-0.000000,0.000000,0.003999,8.608000
0.064008,0.000000,0.000000,0.005602,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.529125,0.000000,-0.000000,0.000000,0.003999,8.065000
0.068007,0.000000,0.000000,0.006336,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.512081,0.000000,-0.000000,0.000000,0.003999,6.801000
0.072007,0.000000,0.000000,0.007113,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.495089,0.000000,-0.000000,0.000000,0.004001,7.499000
0.076009,0.000000,0.000000,0.007934,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.478152,0.000000,-0.000000,0.000000,0.004001,8.624000
0.080008,0.000000,0.000000,0.008798,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.461281,0.000000,-0.000000,0.000000,0.004000,8.230000
0.084006,0.000000,0.000000,0.009704,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.444475,0.000000,-0.000000,0.000000,0.003998,6.262000
0.088008,0.000000,0.000000,0.010653,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.427712,0.000000,-0.000000,0.000000,0.004002,7.997000
0.092014,0.000000,0.000000,0.011646,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.410988,0.000000,-0.000000,0.000000,0.004006,14.418000
0.096010,0.000000,0.000000,0.012678,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.394368,0.000000,-0.000000,0.000000,0.003996,9.968000
0.100008,0.000000,0.000000,0.013752,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.377797,0.000000,-0.000000,0.000000,0.003998,7.685000
0.104012,0.000000,0.000000,0.014869,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.361257,0.000000,-0.000000,0.000000,0.004004,11.939000
0.108005,0.000000,0.000000,0.016024,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.344822,0.000000,-0.000000,0.000000,0.003993,4.731000
0.112011,0.000000,0.000000,0.017223,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.328389,0.000000,-0.000000,0.000000,0.004006,10.966000
0.116006,0.000000,0.000000,0.018460,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.312063,0.000000,-0.000000,0.000000,0.003995,5.554000
0.120005,0.000000,0.000000,0.019738,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.295774,0.000000,-0.000000,0.000000,0.003999,4.863000
0.124005,0.000000,0.000000,0.021057,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.279541,0.000000,-0.000000,0.000000,0.004000,4.914000
0.128010,0.000000,0.000000,0.022417,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.263344,0.000000,-0.000000,0.000000,0.004005,10.297000
0.132006,0.000000,0.000000,0.023814,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.247242,0.000000,-0.000000,0.000000,0.003996,6.422000
0.136005,0.000000,0.000000,0.025251,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.231188,0.000000,-0.000000,0.000000,0.003998,4.861000
0.140005,0.000000,0.000000,0.026727,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.215183,0.000000,-0.000000,0.000000,0.004000,5.134000
0.144005,0.000000,0.000000,0.028241,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.199239,0.000000,-0.000000,0.000000,0.003999,4.610000
0.148006,0.000000,0.000000,0.029795,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.183345,0.000000,-0.000000,0.000000,0.004001,5.975000
0.152006,0.000000,0.000000,0.031387,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.167513,0.000000,-0.000000,0.000000,0.004000,6.062000
0.156005,0.000000,0.000000,0.033016,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.151742,0.000000,-0.000000,0.000000,0.003999,5.113000
