time,x,y,z,roll,pitch,yaw,ref_x,ref_y,ref_z,F,tau_x,tau_y,tau_z,dt,latency_us
0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.810000,0.000000,-0.000000,0.000000,0.004000,0.000000
0.013631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.748666,0.000000,-0.000000,0.000000,0.013630,9630.744000
0.026928,0.000000,0.000000,0.000544,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.689507,0.000000,-0.000000,0.000000,0.013298,18928.264000
0.037742,0.000000,0.000000,0.001408,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.641933,0.000000,-0.000000,0.000000,0.010814,25742.221000
0.044283,0.000000,0.000000,0.002135,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.613422,0.000000,-0.000000,0.000000,0.006541,28283.073000
0.050510,0.000000,0.000000,0.002942,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.586429,0.000000,-0.000000,0.000000,0.006227,30510.295000
0.057370,0.000000,0.000000,0.003951,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.556851,0.000000,-0.000000,0.000000,0.006860,33370.093000
0.063834,0.000000,0.000000,0.005025,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.529145,0.000000,-0.000000,0.000000,0.006464,35833.741000
0.070778,0.000000,0.000000,0.006302,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.499543,0.000000,-0.000000,0.000000,0.006945,38778.299000
0.077475,0.000000,0.000000,0.007660,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.471170,0.000000,-0.000000,0.000000,0.006696,41474.726000
0.084087,0.000000,0.000000,0.009120,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.443316,0.000000,-0.000000,0.000000,0.006612,44087.152000
0.090434,0.000000,0.000000,0.010633,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.416733,0.000000,-0.000000,0.000000,0.006347,46433.782000
0.097006,0.000000,0.000000,0.012309,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.389359,0.000000,-0.000000,0.000000,0.006572,49005.893000
0.100079,0.000000,0.000000,0.013146,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.376635,0.000000,-0.000000,0.000000,0.003073,48078.588000
0.106097,0.000000,0.000000,0.014832,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.351778,0.000000,-0.000000,0.000000,0.006018,50097.031000
0.114172,0.000000,0.000000,0.017219,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.318605,0.000000,-0.000000,0.000000,0.008075,54171.536000
0.120219,0.000000,0.000000,0.019130,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.293939,0.000000,-0.000000,0.000000,0.006047,56218.665000
0.126305,0.000000,0.000000,0.021146,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.269247,0.000000,-0.000000,0.000000,0.006086,58304.664000
0.130320,0.000000,0.000000,0.022537,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.253045,0.000000,-0.000000,0.000000,0.004015,58319.694000
0.138407,0.000000,0.000000,0.025419,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.220527,0.000000,-0.000000,0.000000,0.008087,62407.125000
0.144042,0.000000,0.000000,0.027537,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.198034,0.000000,-0.000000,0.000000,0.005635,64041.771000
0.149120,0.000000,0.000000,0.029516,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.177863,0.000000,-0.000000,0.000000,0.005079,65120.452000
0.153332,0.000000,0.000000,0.031208,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.161213,0.000000,-0.000000,0.000000,0.004212,65332.057000
0.160707,0.000000,0.000000,0.034245,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.132165,0.000000,-0.000000,0.000000,0.007375,68707.301000
0.168110,0.000000,0.000000,0.037421,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.103201,0.000000,-0.000000,0.000000,0.007403,72110.452000
0.176702,0.000000,0.000000,0.041255,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.069813,0.000000,-0.000000,0.000000,0.008592,76702.347000
0.187230,0.000000,0.000000,0.046161,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.029222,0.000000,-0.000000,0.000000,0.010528,83229.915000
0.198428,0.000000,0.000000,0.051645,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,11.986462,0.000000,-0.000000,0.000000,0.011198,90427.966000
