time,x,y,z,roll,pitch,yaw,ref_x,ref_y,ref_z,F,tau_x,tau_y,tau_z,dt,latency_us
0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.810000,0.000000,-0.000000,0.000000,0.004000,0.000000
0.004113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.791496,0.000000,-0.000000,0.000000,0.004112,112.754000
0.008103,0.000000,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.773603,0.000000,-0.000000,0.000000,0.003990,102.619000
0.012075,0.000000,0.000000,0.000145,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.755847,0.000000,-0.000000,0.000000,0.003973,75.318000
0.016145,0.000000,0.000000,0.000292,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.737716,0.000000,-0.000000,0.000000,0.004070,145.331000
0.020083,0.000000,0.000000,0.000481,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.720233,0.000000,-0.000000,0.000000,0.003938,83.270000
0.024064,0.000000,0.000000,0.000718,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.702620,0.000000,-0.000000,0.000000,0.003981,63.895000
0.028060,0.000000,0.000000,0.001002,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.684996,0.000000,-0.000000,0.000000,0.003996,60.167000
0.032073,0.000000,0.000000,0.001334,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.667358,0.000000,-0.000000,0.000000,0.004013,73.051000
0.036091,0.000000,0.000000,0.001712,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.649759,0.000000,-0.000000,0.000000,0.004018,90.749000
0.040073,0.000000,0.000000,0.002133,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.632374,0.000000,-0.000000,0.000000,0.003983,73.485000
0.044080,0.000000,0.000000,0.002602,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.614943,0.000000,-0.000000,0.000000,0.004007,80.146000
0.048070,0.000000,0.000000,0.003114,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.597645,0.000000,-0.000000,0.000000,0.003990,69.808000
0.052061,0.000000,0.000000,0.003671,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.580400,0.000000,-0.000000,0.000000,0.003991,60.877000
0.056063,0.000000,0.000000,0.004273,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.563168,0.000000,-0.000000,0.000000,0.004002,62.501000
0.060078,0.000000,0.000000,0.004923,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.545936,0.000000,-0.000000,0.000000,0.004015,77.977000
0.064062,0.000000,0.000000,0.005611,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.528897,0.000000,-0.000000,0.000000,0.003984,61.917000
0.068066,0.000000,0.000000,0.006346,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.511831,0.000000,-0.000000,0.000000,0.004004,66.245000
0.072099,0.000000,0.000000,0.007131,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.494702,0.000000,-0.000000,0.000000,0.004033,98.962000
0.076066,0.000000,0.000000,0.007946,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.477910,0.000000,-0.000000,0.000000,0.003967,66.456000
0.080060,0.000000,0.000000,0.008809,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.461064,0.000000,-0.000000,0.000000,0.003994,60.340000
