time,x,y,z,roll,pitch,yaw,ref_x,ref_y,ref_z,F,tau_x,tau_y,tau_z,dt,latency_us
0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.810000,0.000000,-0.000000,0.000000,0.004000,0.000000
0.004014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.791945,0.000000,-0.000000,0.000000,0.004012,13.736000
0.008031,0.000000,0.000000,0.000048,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.773931,0.000000,-0.000000,0.000000,0.004017,30.508000
0.012033,0.000000,0.000000,0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.756042,0.000000,-0.000000,0.000000,0.004002,32.522000
0.016021,0.000000,0.000000,0.000288,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.738274,0.000000,-0.000000,0.000000,0.003988,20.887000
0.020008,0.000000,0.000000,0.000477,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.720570,0.000000,-0.000000,0.000000,0.003987,8.233000
0.024017,0.000000,0.000000,0.000715,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.702829,0.000000,-0.000000,0.000000,0.004009,17.247000
0.028021,0.000000,0.000000,0.000999,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.685172,0.000000,-0.000000,0.000000,0.004004,20.982000
0.032044,0.000000,0.000000,0.001331,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.667488,0.000000,-0.000000,0.000000,0.004023,44.255000
0.036039,0.000000,0.000000,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.649989,0.000000,-0.000000,0.000000,0.003995,39.343000
0.040071,0.000000,0.000000,0.002133,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.632387,0.000000,-0.000000,0.000000,0.004032,71.301000
0.044085,0.000000,0.000000,0.002603,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.614924,0.000000,-0.000000,0.000000,0.004014,85.221000
0.048079,0.000000,0.000000,0.003115,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.597610,0.000000,-0.000000,0.000000,0.003994,78.772000
0.052076,0.000000,0.000000,0.003673,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.580338,0.000000,-0.000000,0.000000,0.003997,75.915000
0.056041,0.000000,0.000000,0.004270,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.563265,0.000000,-0.000000,0.000000,0.003965,40.798000
0.060015,0.000000,0.000000,0.004913,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.546207,0.000000,-0.000000,0.000000,0.003975,15.497000
0.064008,0.000000,0.000000,0.005602,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.529132,0.000000,-0.000000,0.000000,0.003992,7.862000
0.068011,0.000000,0.000000,0.006336,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.512069,0.000000,-0.000000,0.000000,0.004003,11.246000
0.072018,0.000000,0.000000,0.007115,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.495051,0.000000,-0.000000,0.000000,0.004006,17.685000
0.076010,0.000000,0.000000,0.007934,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.478153,0.000000,-0.000000,0.000000,0.003992,9.976000
0.080010,0.000000,0.000000,0.008798,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.461279,0.000000,-0.000000,0.000000,0.004000,10.212000
0.084017,0.000000,0.000000,0.009706,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.444437,0.000000,-0.000000,0.000000,0.004007,16.985000
0.088007,0.000000,0.000000,0.010653,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.427725,0.000000,-0.000000,0.000000,0.003990,6.535000
0.092009,0.000000,0.000000,0.011644,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.411016,0.000000,-0.000000,0.000000,0.004003,9.122000
0.096011,0.000000,0.000000,0.012678,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.394371,0.000000,-0.000000,0.000000,0.004002,10.654000
0.100015,0.000000,0.000000,0.013753,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.377770,0.000000,-0.000000,0.000000,0.004005,15.482000
0.104007,0.000000,0.000000,0.014867,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.361284,0.000000,-0.000000,0.000000,0.003991,6.700000
