time,x,y,z,roll,pitch,yaw,ref_x,ref_y,ref_z,F,tau_x,tau_y,tau_z,dt,latency_us
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.810000,0.000000,-0.000000,0.000000,0.004000,0.000000
0.004014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.791938,0.000000,-0.000000,0.000000,0.004014,14.049000
0.008042,0.000000,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.773873,0.000000,-0.000000,0.000000,0.004028,41.821000
0.012027,0.000000,0.000000,0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.756062,0.000000,-0.000000,0.000000,0.003985,26.777000
0.016016,0.000000,0.000000,0.000287,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.738287,0.000000,-0.000000,0.000000,0.003990,16.474000
0.020014,0.000000,0.000000,0.000478,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.720537,0.000000,-0.000000,0.000000,0.003998,14.264000
0.024009,0.000000,0.000000,0.000715,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.702858,0.000000,-0.000000,0.000000,0.003995,9.220000
0.028010,0.000000,0.000000,0.000999,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.685214,0.000000,-0.000000,0.000000,0.004001,9.936000
0.032017,0.000000,0.000000,0.001329,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.667602,0.000000,-0.000000,0.000000,0.004007,17.114000
0.036011,0.000000,0.000000,0.001705,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.650105,0.000000,-0.000000,0.000000,0.003994,11.163000
0.040013,0.000000,0.000000,0.002127,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.632635,0.000000,-0.000000,0.000000,0.004002,12.916000
0.044013,0.000000,0.000000,0.002594,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.615232,0.000000,-0.000000,0.000000,0.004000,12.798000
0.048084,0.000000,0.000000,0.003116,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.597580,0.000000,-0.000000,0.000000,0.004071,84.181000
0.052020,0.000000,0.000000,0.003665,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.580576,0.000000,-0.000000,0.000000,0.003935,19.544000
0.056010,0.000000,0.000000,0.004266,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.563390,0.000000,-0.000000,0.000000,0.003991,10.260000
0.060014,0.000000,0.000000,0.004913,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.546206,0.000000,-0.000000,0.000000,0.004004,14.383000
0.064012,0.000000,0.000000,0.005603,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.529106,0.000000,-0.000000,0.000000,0.003998,12.321000
0.068017,0.000000,0.000000,0.006338,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.512036,0.000000,-0.000000,0.000000,0.004005,17.407000
0.072009,0.000000,0.000000,0.007114,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.495082,0.000000,-0.000000,0.000000,0.003992,9.086000
0.076008,0.000000,0.000000,0.007934,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.478156,0.000000,-0.000000,0.000000,0.003999,7.746000
0.080017,0.000000,0.000000,0.008800,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.461245,0.000000,-0.000000,0.000000,0.004009,16.906000
0.084006,0.000000,0.000000,0.009704,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.444475,0.000000,-0.000000,0.000000,0.003989,6.381000
0.088015,0.000000,0.000000,0.010655,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,12.427683,0.000000,-0.000000,0.000000,0.004009,15.133000
